Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	1	3301765	234345932	121426	-0.0148
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	1	234355957	235153395	487	0.4129
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	1	235163265	247650984	7909	-0.024
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	2	480597	12163394	7461	-0.0279
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	2	12163449	12735598	485	0.0546
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	2	12736342	215975730	108585	-0.0205
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	2	215979052	217884596	1384	0.0222
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	2	217887089	222028079	2497	-0.0325
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	2	222030717	224317186	1534	0.0262
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	2	224319714	233812798	5424	-0.0289
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	2	233813128	235426916	1203	0.0221
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	2	235427414	241537572	3618	-0.019
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	3	2170634	62825911	34989	-0.0179
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	3	62828446	65495180	2166	0.0178
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	3	65495298	68773785	2163	-0.0308
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	3	68774925	68775158	2	-1.4526
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	3	68775334	69500358	549	-0.0182
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	3	69503914	70083210	485	0.0561
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	3	70085066	197812401	66827	-0.0225
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	4	1059384	5743577	2353	-0.6379
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	4	5743665	8614369	1955	-0.6913
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D09_1231128	4	8614452	32450191	15454	-0.6311
