Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_G02_1474038	1	3301765	46586251	23234	-0.0179
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_G02_1474038	1	46587527	57812380	6795	0.0176
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_G02_1474038	1	57812900	149906351	38251	0.0318
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_G02_1474038	1	149907993	247073835	61445	0.0157
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_G02_1474038	1	247076689	247650984	335	-0.016
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_G02_1474038	2	480597	241537572	132412	0.0217
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_G02_1474038	3	2170634	197812401	107339	0.0268
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_G02_1474038	4	1059384	90336382	50524	0.026
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_G02_1474038	4	90336874	90741395	198	-0.5667
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_G02_1474038	4	90741800	124538250	18957	0.0274
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_G02_1474038	4	124539196	124541780	3	-1.2798
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_G02_1474038	4	124541870	187842528	34013	0.0173
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_G02_1474038	5	913983	59091935	31492	0.0238
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_G02_1474038	5	59097361	59143805	50	-0.5292
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_G02_1474038	5	59143836	124010064	34964	0.0306
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_G02_1474038	5	124011769	174316436	31571	0.0172
