Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	1	3301765	247650984	130016	0.0068
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	2	480597	222984892	121222	0.0085
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	2	222987635	222989536	2	-2.5886
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	2	222992262	241537572	11148	0.0055
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	3	2170634	56903997	32003	0.0088
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	3	56904371	56907940	3	-1.3652
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	3	56908042	133069160	41516	0.0078
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	3	133071582	133072013	3	-1.1961
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	3	133072908	158612757	13761	0.007
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	3	158613262	158621752	3	-1.1357
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	3	158623833	192738419	18069	0.0057
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	3	192739147	192751338	4	-1.1257
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	3	192752430	197812401	1955	0.0124
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	4	1059384	187842528	103680	0.0044
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	5	914118	180934240	101297	0.007
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	6	1011760	143527590	81005	0.008
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	6	143529672	143533206	3	-1.6344
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	6	143533635	170596889	16299	0.0086
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	7	664936	156160369	80848	0.0078
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	7	156164121	156164771	2	-1.9252
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	7	156167453	158592540	1260	0.0039
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	8	667625	144182542	82319	7e-04
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_F06_1473968	9	789794	92640564	40378	0.0048
