Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	3301765	56215954	28646	0.2704
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	56223533	57454608	1060	0.2018
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	57454744	64279312	4800	0.2639
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	64279314	72070893	4995	0.2403
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	72071104	74711223	1425	0.1671
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	74738224	101770566	16647	0.2483
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	101771701	107006995	2602	0.1963
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	107008310	111821711	2865	0.2366
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	111821951	158981675	9823	0.2614
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	158984771	159083690	62	-0.0306
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	159083860	186663459	18168	0.253
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	186669953	188838716	1417	0.19
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	188844382	188867643	10	-0.5377
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	188870643	191208947	1233	0.1703
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	191208990	194188838	1969	0.2431
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	194190169	196579878	1291	0.1702
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	196582088	205202332	5386	0.2478
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	205206875	239135695	22421	-0.4797
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	239142921	241367288	1691	0.2268
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	241370076	241377934	17	-0.6994
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	1	241379493	247650984	3273	0.2653
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	2	480597	48968270	29367	0.15
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	2	48971041	59796568	5923	0.1193
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	2	59797137	62418125	1428	0.1622
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	2	62419874	81500114	10807	-0.1919
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	2	81501757	110640222	11205	0.1399
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	2	110643085	110698058	25	-0.591
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	2	110702039	114744603	2036	0.1621
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	2	114745106	117551960	1148	0.0701
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	2	117552093	136994056	10123	0.1481
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	2	136994256	157075303	11281	0.1022
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	2	157075779	178973017	13277	0.1453
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	2	178973407	195733271	8127	0.1107
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	2	195736132	210511692	8455	0.147
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	2	210511770	214618861	2503	0.0844
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	2	214618887	241537572	16510	0.1558
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	3	2170634	76990060	44540	0.1471
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	3	76990273	111111797	15897	0.1194
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	3	111114363	143916646	18954	0.1573
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	3	143917774	148340539	1935	0.09
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	3	148343260	161834469	7612	0.1437
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	3	161836523	167369213	2276	0.0715
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	3	167377507	197812401	15968	0.1393
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	1059384	9995592	4585	0.1983
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	9995679	10167911	174	0.1229
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	10169481	10172515	4	-1.021
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	10172534	16736007	4885	0.1469
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	16738592	18481643	1220	0.1849
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	18482789	32170946	8691	0.1289
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	32171122	36432569	2361	0.0605
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	36433888	42463831	3741	0.1579
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	42465506	47241607	2229	0.0852
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	47241720	58061186	4538	0.1648
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	58062128	64655783	3432	0.0862
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	64658314	91132495	15062	0.1431
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	91133412	98104819	3676	0.0854
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	98108205	114576416	9439	0.1287
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	114576431	117542241	1573	0.0664
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	117548173	129635665	6695	0.1419
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	129638250	136623028	3096	0.0618
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	136625475	182223980	25747	0.1247
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	4	182224092	187842528	2380	0.1677
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	5	913983	18229107	11206	0.1509
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	5	18229905	30817907	6575	0.0679
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	5	30829570	38182093	4338	0.1646
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	5	38183017	52814876	5191	0.1164
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	5	52815151	82992555	17095	0.1446
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	5	82992675	130874535	26019	0.1209
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	5	130876340	155943809	15360	0.1522
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	5	155944161	167949459	7770	0.124
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	5	167953473	180934240	7612	0.1726
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	6	1011760	61524627	34175	0.1568
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_B05_1464632	6	61524628	68891903	3942	0.0803
