Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	1	3301765	11916901	4934	0.3897
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	1	11919228	11921473	2	-1.4584
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	1	11931458	82802077	40797	0.4028
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	1	82803562	101167503	11392	0.4266
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	1	101172963	149906351	11052	0.4042
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	1	149909846	247650984	61665	0.0636
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	2	480597	112438429	59440	0.0663
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	2	112440401	112591385	82	0.4654
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	2	112595097	223426888	61868	0.0687
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	2	223430179	223677304	181	0.3986
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	2	223680966	240863683	10296	0.0627
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	2	240863785	240957001	39	0.4426
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	2	240962658	241537572	313	0.0321
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	3	2170634	197812401	107187	0.0516
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	4	1059384	65919098	36667	0.0651
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	4	65920727	65920776	2	-1.9266
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	4	65921070	187842528	66862	0.0677
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	5	913983	1428688	128	0.0811
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	5	1880474	7758955	4781	-0.4383
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	5	7762048	16048599	5085	0.0668
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	5	16049191	18272783	1234	-0.4228
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	5	18274884	31276292	6937	0.0489
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	5	31278657	31278836	2	-2.0883
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	5	31279191	45364957	7986	0.0822
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_A05_1362412	5	45377176	180934240	74966	-0.4113
