Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	3301765	5647403	1677	0.3209
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	5647439	46792547	21651	0.3588
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	46792585	51067956	2237	0.3132
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	51073136	55499526	2525	0.3581
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	55499740	58205262	2223	0.2713
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	58205357	72273881	9286	0.3182
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	72274270	75237463	1549	0.2861
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	75240463	75279565	33	0.9653
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	75282630	82849077	4571	0.3089
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	82849651	96248955	8433	0.3338
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	96250242	102479016	3737	0.304
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	102480786	102487529	5	1.2329
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	102492584	108056719	2976	0.2959
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	108057313	161851412	13588	0.3517
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	161853013	188227636	17620	0.3178
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	188231775	191520614	1791	0.2755
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	191522832	194056322	1691	0.3163
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	194056447	194056841	3	-0.9558
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	194057302	200586144	3665	0.2997
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	200586497	207193959	4166	0.3623
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H04_1362404	1	207195565	222941801	10792	0.3139
