Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	1	3301765	179007596	86175	0.0388
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	1	179009073	179010038	2	-1.8558
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	1	179012281	188044957	5988	0.0511
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	1	188047217	188866080	494	-0.0877
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	1	188866947	247650984	37408	0.0401
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	2	480597	193873399	104311	0.0378
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	2	193899942	194851060	382	0.3251
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	2	194854741	241537572	27734	0.0386
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	3	2170634	162040284	89191	0.0392
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	3	162045045	163855119	723	-0.3731
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	3	163859683	194521674	16524	0.0392
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	3	194533342	194534449	2	-1.6128
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	3	194535307	194539702	5	-0.4502
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	3	194545996	197812401	909	0.0441
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	4	1059384	5994529	2574	0.0422
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	4	5995741	5995787	2	-2.0038
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	4	5998496	33297413	17593	0.0454
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	4	33298341	33302391	3	-0.9806
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	4	33302519	89219902	29741	0.0361
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	4	89220803	89224589	5	-1.0648
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	4	89229401	95807194	3575	0.0363
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	4	95807413	97309205	855	-0.2526
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	4	97313452	187842528	49366	0.0373
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	913983	4451381	2264	0.0131
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	4452624	19167964	9457	0.0499
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	19168034	29558675	5375	0.0156
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	29567884	45383300	9102	0.0427
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	50828231	54340052	2125	-0.3518
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	54344082	59247223	3309	0.0507
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	59251881	59360502	44	0.358
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	59360730	59826157	344	0.0911
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	59826922	59916359	60	-0.3884
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	59919456	60143443	108	0.0967
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	60151156	62768201	1424	-0.3463
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	62768265	63006694	179	0.0558
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	63015075	64685647	571	-0.3721
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	64685688	64829540	82	0.029
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	64829554	65239828	210	-0.3732
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	65242664	65292662	33	0.0952
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	65295038	65871970	323	0.3345
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	65875387	66765958	599	-0.3554
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	66766609	66922476	141	0.0415
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	66925434	67000340	67	-0.3559
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	67004762	67027331	24	0.4006
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	67027416	67193126	116	-0.3388
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	67196387	68016371	607	0.7187
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	68022682	68088754	40	-0.399
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	68093078	68168671	49	0.0296
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	68169975	68891326	470	-0.3544
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	68894531	68938498	32	0.0065
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	68938942	72042527	679	-0.3594
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	72042841	72190958	102	0.0555
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	72191082	72820167	351	0.3599
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	72827083	72885819	26	-0.0271
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	72887861	72955633	22	0.6665
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	72957602	74370108	1036	0.3675
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	74371149	74428718	78	0.0643
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_F03_1486206	5	74435352	74480721	34	0.9434
