Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	3301765	44927605	22561	0.1616
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	44927662	44931925	5	-0.6507
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	44933737	45570088	283	0.1524
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	45573836	64063937	11484	0.1867
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	64064014	64318205	204	-0.1272
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	64319406	64513467	132	0.1691
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	64514386	64549569	26	-0.1903
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	64552557	66971360	1830	0.1884
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	66975137	67934033	684	-0.1407
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	67934547	75010580	3818	0.1864
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	75011423	77462495	1610	-0.1376
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	77466323	78695506	635	0.1835
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	78698145	85250557	4048	-0.1541
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	85251090	85275129	16	0.1703
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	85277723	85284365	5	-0.2985
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	85295980	85392440	65	0.177
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	85403463	85459552	56	-0.1891
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	85461198	85526029	48	0.2657
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	85528121	103524378	10923	-0.1369
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	103793015	106771456	1560	0.4444
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	106776456	107195140	279	0.2003
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	107197190	108072993	655	0.4595
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	108075806	150057994	7317	0.1908
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	150058787	151847886	682	0.1253
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	151849527	224931608	46501	0.1877
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	224932453	224932531	2	-1.2119
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	1	224935524	247650984	14414	0.1823
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	2	480597	34757692	20970	-0.1451
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	2	34769091	34772305	4	-1.2501
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	2	34774513	64886019	16952	-0.1334
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	2	64886847	64886933	2	-1.6196
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	2	64892875	241537572	94274	-0.1365
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	3	2170634	2170887	2	-0.4731
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	3	2171032	90453712	51269	0.1897
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	3	94015345	197812401	55850	-0.6077
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	4	1059384	73782375	40435	0.184
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	4	73789749	73964293	110	-0.6421
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	4	73965463	187842528	62992	0.1906
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G12_1362572	5	913983	6557017	4048	-0.1796
