Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	1	3301765	68624132	37742	-0.1938
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	1	68626200	108572984	23426	-0.2141
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	1	108580659	119984738	7094	-0.1919
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	1	119984772	186984108	23142	0.3441
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	1	186984732	197436872	6038	0.3168
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	1	197437928	215854042	12158	0.3543
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	1	215854545	215854657	2	1.7544
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	1	215856127	247650984	20416	0.3385
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	2	480597	241537572	132341	-0.5019
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	3	2170634	7943578	3212	0.0939
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	3	7946374	17396132	6243	0.1284
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	3	17400031	17578508	66	-0.5681
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	3	17582432	21514482	2044	0.0892
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	3	21514912	66790069	26517	0.1249
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	3	66801193	68858405	1350	0.0967
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	3	68862129	68921683	64	0.5378
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	3	68921804	74290246	3886	0.1372
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	3	74290528	97659122	9771	0.0876
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	3	97662418	105858517	4562	0.1124
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	3	105867870	119001132	7869	-0.5961
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	3	119115295	163143851	24005	0.1155
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	3	163143864	163144320	2	-1.444
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	3	163144560	197812401	17731	0.1108
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	4	1059384	13084248	6973	0.1311
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	4	13084831	13120911	48	-0.5243
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	4	13123170	128603801	64819	0.1062
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	4	128604619	128638644	28	-0.4729
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	4	128643466	136514255	3575	0.0857
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	4	136520392	158967010	13007	0.1131
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	4	158967026	187842528	15218	0.0946
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	5	913983	18518460	11409	0.3809
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	5	18518810	30903949	6461	0.092
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	5	30905056	132485305	53474	0.1318
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	5	132485328	144382986	7038	0.1594
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	5	144385725	152618131	5381	0.1409
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	5	152620700	152799861	114	0.0485
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	5	152802149	152855986	33	-0.5
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	5	152857399	161374352	5661	0.1378
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	5	161374717	168670131	4643	0.1071
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	5	168671963	180934240	7073	0.1554
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	6	1011760	1855719	693	0.2077
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	6	1855938	25913849	16818	0.1426
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	6	25914035	28008448	709	0.0813
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	6	28009358	62079032	16203	0.1443
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	6	62079147	65378791	1592	0.1074
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	6	65381358	65388076	2	-1.1505
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	6	65389197	70090858	2781	0.101
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	6	70095644	72061395	1154	0.1277
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	6	72063664	72147012	68	0.5533
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	6	72147263	91906700	11319	0.1283
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	6	91907397	91933376	18	-0.5914
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	6	91934537	104204161	6287	0.1176
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	6	104204370	119601242	8846	0.1492
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	6	119606033	126936553	4189	0.1239
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	6	126941793	126966392	20	-0.6899
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	6	126967944	162062922	22738	0.1474
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B02_1367416	6	162173909	162204518	22	0.6013
