Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	3301765	6740891	2237	-0.0197
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	6743432	6767292	18	0.4579
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	6768567	8198230	884	-0.0203
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	8199265	10292903	963	-0.1042
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	10293054	23137255	7093	-0.035
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	23144686	28868306	2459	-0.0811
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	28868389	46670340	9632	-0.0428
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	46672546	50554610	2168	0.0107
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	50557731	53029207	1024	-0.0643
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	53032653	74711223	14480	-0.0111
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	74738224	74788922	20	0.4324
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	74790451	97266469	13874	-0.0086
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	97266713	102424791	3120	-0.0429
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	102424944	106303459	1808	-0.0012
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	106303531	106303532	2	-1.1583
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	106307224	108801429	1507	-0.0063
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	108803093	114692011	3595	-0.0478
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	114692112	117270716	1790	-0.0089
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	117272208	117275774	2	-2.2487
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	117278758	119984772	1581	0.0026
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	149906351	156278116	2980	0.3048
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	156278161	160035807	2382	0.3482
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	160036052	161832199	958	0.3064
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	161832259	165531483	2971	0.3788
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	165533048	176788145	7166	0.3455
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	176788686	192450875	9826	0.369
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	192450930	192451498	2	-1.9162
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	192451767	213719803	13582	0.342
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	213720158	223435162	6549	0.3828
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	223435284	232030572	5023	0.3408
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	232035003	232203821	152	0.6024
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	232214515	235187636	2258	0.349
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	235191240	235427244	108	0.1883
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	235427660	241620601	4717	0.3449
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	241627815	241727284	53	0.6065
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	1	241727738	247650984	3031	0.3463
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	2	480597	7547213	4299	0.0242
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	2	7551800	8383805	549	-0.0578
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	2	8384411	69527667	36214	0.0193
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	2	69529583	69873078	216	0.3757
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	2	69876372	241537572	91091	0.0196
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	3	2170634	45372115	25822	0.006
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	3	45372416	52671793	3192	-0.0347
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	3	52678517	176775879	67211	0.0173
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	3	176776362	176972093	102	0.4279
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	3	177177049	197812401	10966	0.0071
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	1059384	2924650	689	-0.1018
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	2926398	25034659	14438	-0.0386
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	25037197	25043844	10	-0.8185
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	25044273	27495853	1524	-0.0757
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	27495947	32378306	3081	-0.0178
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	32378591	38011672	3338	-0.0592
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	38014436	39205698	822	-0.1225
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	39208967	39210064	2	-1.5781
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	39210390	40937008	783	-0.1086
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	40937103	99543871	30776	-0.0487
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	99544016	99762897	147	0.112
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	99774206	120901430	12075	-0.0515
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	120904612	121249985	189	0.2809
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	121251781	144933452	12595	-0.0477
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	144937148	145212028	98	0.2423
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	145212217	169656097	13797	-0.0602
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	169656265	169656756	2	-1.3326
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	4	169657377	187842528	9278	-0.0551
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	5	913983	1325688	73	0.0556
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	5	1340343	17006296	10561	-0.6103
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	5	17011661	20654061	1778	0.0417
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	5	20659178	21393015	325	0.4543
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	5	21581370	29617924	4350	-0.5945
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	5	29640708	33944112	2944	0.0257
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	5	34754143	37165374	1574	0.4394
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	5	37169400	37439445	102	0.0109
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	5	37651330	37680428	8	0.3981
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	5	37685993	37882336	153	0.7811
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	5	37883001	37989777	72	0.9871
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	5	37990620	38838341	688	0.7793
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B04_1367314	5	38842308	39316320	309	1.192
