Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	3301765	20625633	9869	-0.2237
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	20625778	20628669	2	-1.9666
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	20628690	45063282	12769	-0.2202
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	45064900	102952693	35614	-0.1187
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	102954382	105199770	924	-0.7171
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	105202115	108698650	2041	-0.1363
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	108701306	110534850	1007	0.2716
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	110535240	117579941	4583	-0.7273
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	117581160	117587551	5	-3.5738
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	117590608	118717584	640	-0.7245
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	118723106	118915494	101	1.0925
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	118915592	119072209	95	1.1957
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	119075491	119332482	148	2.0017
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	119332898	119340989	5	1.1167
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	119347983	119360492	14	2.1007
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	119362417	119380185	17	2.5082
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	119383313	119613428	170	2.0231
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	119613797	119800489	103	2.3418
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	119801032	119984772	130	2.0242
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	149906351	151685045	660	0.2295
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	151686547	153593211	1131	0.2952
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	153594303	154335486	276	0.2443
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	154336165	209724789	35211	0.3414
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	209725194	209993352	192	0.8799
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	1	209997570	247650984	24312	0.3508
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	2	480597	67703883	39920	-0.4416
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	2	67703946	223437835	81589	-0.2055
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	2	223439246	231630427	4865	-0.4339
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	2	231635421	238728587	4354	-1.387
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	2	238729034	238730140	4	-6.9628
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D05_1486572	2	238731170	239938929	585	-1.5116
