Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	1	3301765	5872643	1838	0.3475
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	1	5874176	47614007	21945	0.299
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	1	47614783	51843523	2093	0.3722
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	1	51843742	55047496	1884	0.296
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	1	55048400	56644764	1225	0.3724
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	1	56656417	101563821	28334	-0.2007
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	1	101564445	101574473	2	-3.4136
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	1	101574850	103524378	1005	-0.2071
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	1	103793015	119979978	9727	0.3443
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	1	119981279	153272606	1627	0.1478
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	1	153274022	156869382	1622	0.0872
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	1	156869617	247650984	58358	0.1778
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	2	480597	74682638	43787	0.1628
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	2	74683576	75093230	262	0.4681
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	2	75094476	241537572	88057	0.1724
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	2170634	13171328	6582	-0.5036
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	13174212	13178491	5	-3.045
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	13178662	24043675	5968	-0.5107
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	24046750	24342514	243	-1.1192
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	24343879	30803291	4162	-0.4849
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	30808563	32709738	1268	-0.016
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	32712891	51344295	9970	-0.4916
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	51345221	51345713	2	-6.2402
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	51345775	56015459	2899	-0.515
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	56017634	57528328	870	0.2414
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	57530821	57981296	173	-0.5494
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	57985515	58186322	145	0.4599
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	58186623	65612305	4620	0.2697
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	65613157	65732429	90	1.0905
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	65736202	68385541	1693	1.3782
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	68387280	68395551	5	0.7189
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	68396429	70238832	1415	1.5624
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	70244461	70619755	223	1.3465
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	70619925	71590623	632	0.3245
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	71592068	71603737	9	1.2792
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	71607619	71658051	39	0.2729
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	71658361	72812071	876	0.5771
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	72814353	73463670	465	0.4335
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	73468784	74290246	628	0.8924
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	74290528	74473528	134	1.119
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	74475474	76544781	784	0.8243
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	76545911	76800952	158	0.5841
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	76801750	77506297	461	0.7921
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	77506314	77541929	3	0.2297
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	77542421	78270905	379	1.1524
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	78272297	80089055	1002	0.9883
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	80089574	80229937	79	1.1809
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	80234474	83532138	1733	1.6803
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	83538131	83756010	95	1.2048
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	83761082	84484749	310	0.5897
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	84484813	86788796	1099	0.7879
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	86790937	87518040	393	1.5606
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	87518280	90095608	1243	1.0563
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	3	90096566	197812401	55943	0.1617
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	4	1059384	3452072	971	-0.1671
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	4	3452452	4490028	388	0.1847
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	4	4490769	51832591	26917	-0.1126
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	4	51833594	70451852	10231	0.1534
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	4	70451867	116801364	26567	0.11
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	4	116806185	125158034	4739	0.1749
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	4	125159190	136459960	5342	0.1183
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	4	136460987	160929516	14253	0.1537
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	4	160933025	161010744	3	-1.6253
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	4	161011125	187842528	13958	0.14
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	5	914118	1427896	123	0.1855
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	5	1427996	18182517	11017	-0.0012
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	5	18184240	20622786	1230	0.1129
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	5	20623500	23869899	1659	-0.1944
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	5	23871937	32734302	5127	-0.0303
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	5	32734405	35717093	1440	-0.2066
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	5	35717571	45308261	5479	-0.0201
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	5	45310953	180934240	74936	0.1726
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	6	1011760	33195674	19552	0.179
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	6	33196958	37661862	2421	0.1218
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	6	37662244	41805096	3005	0.1927
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	6	41805584	43800322	1014	0.104
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	6	43800698	62192932	8403	0.1874
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	6	62193306	62903444	310	0.0901
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_C09_1464554	6	62903661	65601985	1381	-0.1237
