Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	1	3301765	31148580	15046	0.0787
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	1	31150820	31152499	2	-2.3292
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	1	31152542	42090595	5910	0.0752
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	1	42091340	42098279	4	-1.0567
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	1	42102008	43011286	528	0.0725
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	1	43012125	43012935	2	-1.1969
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	1	43020953	59646315	9867	0.0951
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	1	59655130	106259283	28313	-0.5299
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	1	106261661	106268690	2	-2.9668
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	1	106271620	111582782	3196	-0.5534
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	1	111584677	112327792	598	0.1268
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	1	112327916	161105117	10758	0.0806
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	1	161108631	202052751	26090	0.1024
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	1	202053978	206435265	2656	0.063
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	1	206436738	247650984	26978	0.1022
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	2	480597	12642957	7892	0.0941
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	2	12647693	12647787	2	-1.3829
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	2	12647842	44576746	18600	0.0926
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	2	44595010	44597465	3	-1.921
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	2	44597581	241537572	105883	0.0931
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	3	2170634	139612452	77073	0.1085
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	3	139612550	139614671	2	-2.2017
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	3	139615646	154881811	8205	0.1048
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	3	154903895	154906640	2	-2.4921
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	3	154907458	197812401	22059	0.1071
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	4	1059384	10348032	4872	-0.5954
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	4	10348420	182351436	96258	-0.5358
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	4	182351532	187842528	2259	-0.5719
GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_A01_1051906	5	914118	986593	30	-0.618
