Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	3301765	3324571	27	0.249
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	3335443	25447591	12278	0.1356
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	25562931	25792419	143	-0.7488
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	25802876	25849691	30	-0.0842
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	25855944	25878947	10	-0.7483
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	25880753	26599352	348	0.0943
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	26602466	26840944	58	-0.6936
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	26844395	45274156	9844	-0.1194
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	45274797	45408259	65	0.2261
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	45415134	68692711	14961	-0.1119
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	68693283	83900742	8686	-0.1534
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	83900867	96645091	8039	-0.1322
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	96645384	111799704	8562	-0.1581
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	111799887	113902991	1332	-0.1037
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	113904412	113905292	2	-1.1819
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	113910908	119981279	3859	-0.1225
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	119981332	152297723	1004	0.3906
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	152298587	160352973	4548	0.4353
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	160358030	161959375	849	0.3935
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	161960686	167105513	4055	0.4623
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	167105922	175114874	5238	0.427
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	175116397	180803572	3404	0.4613
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	180804831	180804994	2	-0.692
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	180805017	184874356	2791	0.4615
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	184874755	189120409	2631	0.4357
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	189120453	199881824	6164	0.4075
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	199955268	200388986	370	0.4668
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	200398996	200399686	3	-0.7333
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	200402857	216083993	10479	0.4639
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	216084136	216141224	36	-0.1352
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	1	216153607	247650984	20210	0.4587
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	2	480597	34534958	20884	0.0981
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	2	34535887	98968041	31364	0.0779
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	2	98975934	135884023	19091	0.1013
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	2	135886330	148337016	6896	0.0574
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	2	148342676	152594422	2778	0.0961
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	2	152596698	158655725	3334	0.0523
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	2	158661245	158771962	104	0.6065
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	2	158772287	159053694	166	0.1328
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E06_955508	2	159056618	167523787	4808	0.0636
