Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	1	3301765	46971562	23441	-0.1632
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	1	46975124	53064815	3082	-0.1227
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	1	53064873	55254782	1389	-0.1549
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	1	55254910	60084839	3736	-0.1206
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	1	60089525	108522727	29496	-0.0885
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	1	108526606	119704280	6963	-0.1073
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	1	119705264	153842451	2034	-0.1284
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	1	153845622	153848215	2	1.1234
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	1	153849468	157252697	1613	-0.1469
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	1	157253039	183768766	17682	-0.0897
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	1	183769948	199861983	9482	0.3889
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	1	199863445	213698641	9209	0.3415
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	1	213698710	223007081	6326	0.3733
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	1	223012075	238331365	9965	0.3442
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	1	238332960	239879389	1136	0.3966
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	1	239880800	247650984	4473	0.3417
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	2	480597	4597362	2047	0.307
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	2	4602182	4602761	2	-1.5638
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	2	4604202	139446837	71153	0.324
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	2	139446874	158115857	10798	0.3506
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	2	158119058	158120634	2	-1.1074
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	2	158126650	164680630	3780	0.3494
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	2	164683151	164703117	12	-0.844
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	2	164704890	170564547	3707	0.3695
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	2	170564596	170577791	18	-0.0889
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	2	170579835	218193125	26718	0.3481
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	2	218193194	219585556	665	0.2674
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	2	219585745	226264201	4473	0.3535
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	2	226264578	237328278	6679	0.3074
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_B08_1367412	2	237330798	237489879	77	-0.1697
