Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	1	3301765	119849732	68155	-0.4178
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	1	119853088	247650984	61861	0.0779
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	2	480597	241537572	132428	0.0867
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	3	2170634	136413440	75553	0.0774
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	3	136413863	136413881	2	-1.8769
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	3	136423577	197812401	31782	0.0717
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	4	1059384	119584015	66803	-0.4242
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	4	119587688	119593601	5	-1.9554
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	4	119596336	141740816	11940	-0.418
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	4	141740887	141743106	2	-2.0142
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	4	141743166	187842528	24908	-0.4254
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	5	913983	45383300	26194	0.0697
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	5	50828231	165918077	66070	0.4249
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	5	165922106	166509205	411	-0.4502
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	5	166510170	180934240	8631	0.4241
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	6	1011760	62832123	34763	0.0798
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	6	62832720	99355053	20248	0.0192
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	6	99359251	99376529	16	-0.3887
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	6	99378371	170596889	42301	0.0099
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	7	664936	158592540	82136	0.4387
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	8	667625	21630762	12301	0.1075
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	8	21631836	127961419	60130	0.0941
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	8	127961698	144182542	9916	0.1035
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	9	789794	14830272	8143	-0.4191
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	9	14830823	14831005	2	-2.4393
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	9	14833403	21887381	5489	-0.4138
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	9	21890327	22031006	108	-1.0466
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	9	22033182	38752071	9906	-0.4105
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	9	68423153	138044505	44980	0.0898
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	10	366509	37123421	25589	-0.4164
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	10	37123566	43378202	1331	-0.3518
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	10	43378216	83376221	22872	-0.4046
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	10	83378073	83424693	33	0.1837
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	10	83426695	87427602	2566	-0.4088
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	10	87502960	87866965	239	-1.2797
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	10	87866979	87940914	110	-0.7938
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	10	87941108	133411599	28732	-0.4111
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	11	456012	134272740	77797	-0.4249
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	12	780472	11646407	5815	0.4165
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	12	11650140	11650264	4	-0.5415
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	12	11659666	33368216	13957	0.4276
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	12	38827290	41724977	1816	0.061
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	12	41726720	42815339	668	0.4128
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	12	42815499	124887427	48668	0.0637
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	12	124891300	124891624	2	-1.2319
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	12	124898111	132605822	3583	0.0706
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	13	18874255	53589833	21074	0.0701
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	13	53591929	114226675	36057	0.0836
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	14	20033191	38465548	10229	0.0849
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	14	38465567	38465683	3	1.0278
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	14	38469783	105533894	39631	0.0818
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	15	23437561	101344124	44892	0.0785
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	16	603333	28191618	13302	0.0781
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	16	28197544	28198404	2	-1.0446
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	16	28203452	89317317	28006	0.0859
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	17	1074619	82959812	37384	0.0753
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	18	326691	79349796	43040	0.0666
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	19	283868	21339415	7922	0.0534
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	19	21341600	35194553	6393	0.0843
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	19	35194633	58370362	9942	0.0593
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	20	472817	63588502	37653	0.0916
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	21	13974127	46262057	20821	0.0817
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	22	16934932	36195334	9386	0.0981
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	22	36199751	42844800	3258	0.0684
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	22	42850140	48940621	4476	0.1017
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_D11_1486506	X	3236359	155677414	64466	0.0011
