Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	1	3301765	47358969	23577	-0.1273
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	1	47374457	119984772	44530	-0.1075
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	1	149906351	164483505	8318	0.5319
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	1	164485806	164512763	26	-0.6721
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	1	164518236	245834781	52748	0.5528
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	1	245839662	245840547	5	-0.5789
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	1	245843137	247650984	595	0.5395
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	2	480597	643587	146	-0.114
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	2	644065	19485823	12284	-0.2045
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	2	19486892	19487063	2	-3.7493
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	2	19487129	22885244	2120	-0.204
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	2	22886027	241537572	117536	-0.1356
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	2170634	9772942	4448	-0.1428
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	9778908	9782967	5	-1.3237
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	9785199	11840607	1304	-0.1419
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	11843213	12159406	224	-0.66
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	12165880	20796366	5244	-0.1585
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	20796447	35537295	8749	-0.1284
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	35541703	35633972	56	-0.5982
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	35634054	51588713	8530	-0.1431
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	51589542	51622354	10	-0.6828
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	51622897	58252158	4101	-0.1404
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	58257990	58316076	30	0.2752
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	58317396	69822690	7423	-0.1327
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	69827090	69912827	108	0.2466
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	69917637	74763043	3374	-0.1328
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	74763337	74763851	2	-1.545
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	74764050	76385913	484	-0.1219
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	76398516	76565934	138	0.2353
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	76566186	175086598	51158	-0.1329
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	175087178	175142912	37	-0.66
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	3	175143245	197812401	11665	-0.1453
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	4	1059384	180604429	100199	-0.0968
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	4	181157671	181249931	74	-1.4826
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_E07_1321030	4	181253778	181281568	29	-0.6805
