Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	3301765	45142707	22660	0.1391
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	45144400	57980095	7465	0.17
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	57981402	58035489	46	0.0769
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	58036608	70342653	8380	0.2064
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	70346176	70616756	165	0.6519
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	70617560	70617693	2	1.3857
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	70618014	75828746	2782	0.1902
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	75835513	77593049	1212	0.2669
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	77595306	77922081	119	0.6549
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	77927723	81488011	2020	0.342
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	81490544	89532797	5213	0.2859
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	89533464	90448300	584	0.3232
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	90450367	90814756	251	0.4059
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	90814902	92147366	797	0.2848
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	92149876	99178667	4140	0.2467
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	99179397	107883971	4943	0.3024
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	107887312	114822445	4089	0.2772
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	114822539	119981279	3275	0.318
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G01_1231134	1	119981332	160598816	5717	0.1609
