Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	3301765	13807659	5619	-0.3299
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	13809222	16471261	1717	0.3159
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	16999460	47561395	16373	-0.3335
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	47561438	56440130	5097	-0.2914
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	56440602	56441055	2	-2.2828
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	56446886	61332627	3598	-0.2953
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	61332952	63769639	1694	0.335
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	63771733	64260701	342	0.5566
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	64263112	76688647	7688	-0.2787
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	76689568	76769336	49	0.6527
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	76769956	78641642	1013	-0.2828
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	78646177	80271317	900	0.8075
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	80275990	81426822	652	-0.2547
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	81427880	81428401	6	-1.0299
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	81428427	81840920	318	-0.2903
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	81841670	81841789	2	-1.8291
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	81843556	83116351	839	-0.2448
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	83122702	83226700	45	-0.6766
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	83231312	84350026	684	-0.2967
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	84352879	85630123	916	0.7731
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	85635657	114934218	17320	-0.2995
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	114938697	119984772	3232	0.2974
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	149906351	157027096	3352	0.6514
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	157028499	160322877	2164	0.4991
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	160327672	161780051	764	0.431
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	161787157	163915590	1637	0.5097
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	163917463	165533048	1358	0.5562
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	165533138	168016871	1816	0.501
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	168019352	168020608	2	-0.9285
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	168024881	186427835	11682	0.4999
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	186428639	200917423	8478	0.3044
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	200917763	206615113	3613	0.4858
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	206616449	219063528	8677	0.2967
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	219066763	219118727	38	0.8029
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	219120176	229786621	6318	0.6841
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	229786849	229789777	2	-0.6764
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	229791098	231680425	1272	0.6979
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	231680490	231697972	16	0.2774
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	231757426	231831116	11	0.7442
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	231838645	236068554	3061	0.8333
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	236101466	236346041	158	0.2805
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	1	236347695	247650984	7267	0.8475
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	480597	23898604	15291	0.0707
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	23900669	48534415	13814	0.0341
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	48534974	53392440	2628	0.0883
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	53392968	55677070	1128	0.0284
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	55677143	60656566	3031	0.0841
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	60658751	65482901	2361	0.015
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	65483194	66309577	692	0.0642
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	66309620	68051911	1196	-0.2654
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	68051959	70630351	1574	-0.3667
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	70631058	76146862	2986	-0.2981
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	76147845	76148585	3	-1.9499
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	76149514	84625474	4539	-0.251
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	84625538	94681256	1533	-0.3226
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	94682300	95942031	280	0.0794
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	95945944	102451363	3213	-0.3278
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	102451696	108904903	3930	-0.2756
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	108905308	115237443	2834	-0.3054
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	115239448	115328595	50	-0.7687
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	115328888	121817275	3443	-0.2848
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	121819002	121819211	2	-1.6241
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	121820716	123092879	887	-0.249
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	123093601	123093806	2	-1.6803
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	123095315	125347114	641	-0.2607
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	125350211	191473523	36982	0.0629
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	191474025	209316372	9478	-0.0356
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	209318493	209606778	174	-0.3513
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	209610538	217946185	5220	0.0189
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	217949164	219215820	605	-0.0613
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	219219747	219516415	149	-0.3466
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	219517978	223543836	2749	-0.2715
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	223546474	230481950	4229	-0.3735
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	230482650	234313620	2113	-0.4296
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	2	234313896	241537572	4364	-0.3834
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	2170634	12577981	6261	0.0658
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	12582344	12726437	133	1.5326
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	12727195	25208705	7260	0.0428
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	25209375	25408159	178	-0.2268
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	25411260	25490534	96	0.016
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	25490555	25565107	134	-0.2462
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	25569477	25574809	12	0.2403
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	25574968	34918484	5564	0.5187
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	34921311	35759275	518	1.8408
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	35905882	43243953	4526	0.5156
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	43244044	44116445	470	0.6716
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	44117765	46384426	1331	0.498
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	46384443	46401549	11	0.1784
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	46401600	49335510	1175	-0.0648
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	49338118	50180061	301	-0.367
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	50186583	51478797	589	-0.0083
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	51484003	53332107	794	-0.3685
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	53335052	55751478	1874	-0.2484
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	55751769	56724694	622	0.0723
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	56729497	61490094	2130	-0.2755
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	61508578	61798162	152	-0.7127
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	61803360	66811232	3919	0.1156
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	66817805	70848148	2802	-0.1253
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	70849958	72903224	1444	-0.1766
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	72903249	77032748	2266	-0.1204
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	77042065	90436812	6698	-0.5421
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	90453712	94326600	149	-0.1685
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	94326723	94882573	245	0.1825
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	94883097	96410022	830	0.0598
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	96413587	96422249	5	-0.9756
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	96422715	96438648	11	0.1456
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	96442383	98521769	1072	0.302
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	98526874	98636740	65	0.0659
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	98645759	98846792	104	0.4799
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C12_1320876	3	98865619	99021685	90	0.7163
