Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	3301765	21295676	10158	-0.6874
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	21314008	22985623	918	0.0839
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	22990087	29185815	2647	0.0215
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	29186335	31722314	1572	0.0756
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	31725572	33095026	528	0.0052
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	33096815	34931551	1240	0.0772
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	34932374	36396653	615	-0.0027
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	36401633	38865341	1488	0.0564
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	38866360	45865751	3777	0.019
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	45874186	47243471	571	0.0516
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	47246596	48071126	601	0.1154
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	48071315	64885173	10865	0.0503
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	64885235	65002115	178	-0.0515
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	65008104	65352934	203	0.0382
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	65353026	66564179	843	0.0965
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	66565319	68073675	1083	0.0432
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	68074663	115167593	27865	0.0173
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	115171117	115712120	400	0.0904
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	115712222	119203041	2135	0.0219
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	119208021	149907993	532	0.0668
CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_C08_895588	1	149909846	151563440	603	0.3721
