Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	1	3301765	63378839	33894	-0.0641
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	1	63389211	63389849	3	-1.5173
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	1	63391764	108176950	27168	-0.053
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	1	108328497	108552580	64	0.4684
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	1	108556115	157482352	10744	-0.0604
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	1	157482698	157485042	3	-1.418
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	1	157486927	158358504	627	-0.071
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	1	158362312	227356812	44393	0.2974
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	1	227359847	227364793	4	-1.0689
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	1	227366441	247650984	13102	0.3031
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	2	480597	136167910	71439	-0.0502
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	2	136170287	136172313	4	-1.6117
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	2	136172780	157639139	12244	-0.0466
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	2	157641624	157641947	2	-1.825
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	2	157642047	229454273	41671	-0.0412
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	2	229454512	229462927	7	-1.12
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	2	229465183	234308089	2572	-0.0526
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	2	234308178	234308523	2	-1.3692
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	2	234309267	241537572	4388	-0.0657
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	3	2170634	8953502	3938	-0.0483
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	3	8955418	8955453	2	-1.3925
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	3	8959911	131725054	68657	-0.0472
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	3	131727107	131731846	4	-1.0553
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	3	131732043	197812401	34692	-0.0484
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	1059384	6881787	3159	-0.579
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	6882344	34866074	17829	-0.0374
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	34866579	34876910	4	-1.4647
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	34879203	153514068	64075	-0.0409
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	153516537	153516594	2	-1.8505
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	153518860	156921007	2222	-0.0444
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	156921244	156926270	2	-1.5962
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	156926793	161983322	2868	-0.0384
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	161983787	162422911	303	-0.2637
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	162422996	169915093	4020	-0.053
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	169918879	170008723	57	-0.2888
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	170010723	172638917	1356	-0.0398
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	172639029	172725373	52	-0.2761
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	172727248	174601922	1052	-0.0379
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	174602428	174993815	255	-0.2153
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	174994307	175482732	231	-0.0496
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	175485035	176774628	765	-0.2629
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	176774680	182489662	3201	-0.0409
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	182493451	186043875	1129	-0.2713
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	186050410	186124059	49	-0.0169
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	186172834	186176244	2	-1.1086
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	4	186185716	187842528	989	-0.0553
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	5	913983	4662408	2424	0.7962
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	5	4664344	79900395	40209	-0.053
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	5	79901749	79913207	3	-1.3604
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	5	79919005	165758082	49426	-0.0496
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	5	165759167	166205800	316	-0.5149
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	5	166207451	166317364	88	-0.0245
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	5	166317428	166502349	119	-0.5427
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	5	166505493	166650827	118	-0.1045
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	5	166651015	166920762	179	-0.57
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	5	166924980	180934240	8347	-0.0547
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	6	1011760	48708773	28995	0.3036
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	6	48709274	50925015	1176	0.2188
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	6	50925538	50925578	2	1.5418
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	6	50931560	53520677	1697	0.2195
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	6	53523727	53523968	2	-1.0771
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	6	53524035	63722961	3341	0.2119
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	6	63728372	65362258	793	-0.0456
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	6	65373219	65661440	206	0.2137
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	6	65670018	87540841	12408	-0.5266
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	6	87540871	87540902	2	-3.1265
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	6	87544202	170596889	48561	-0.5435
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	7	664936	115473995	58681	-0.0498
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	7	115474780	146966701	17186	0.3134
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	7	146971459	147003254	33	0.0134
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	7	147004988	158592540	6206	0.3088
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	8	667625	34693281	20609	-0.5668
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	8	34694766	50118212	6079	0.2882
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	8	50126018	144182542	55582	0.5798
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	9	789794	88314304	37618	0.2996
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	9	88320072	88321310	3	-1.5967
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	9	88321998	138044505	31005	0.2927
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	10	366509	130383003	80784	-0.053
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	10	131110205	133411599	697	-0.5957
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	11	456012	8945241	4643	-0.0747
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	11	8945963	8946045	2	-1.4954
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	11	8946061	62224817	29469	-0.0617
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	11	62227667	113301953	29036	0.5638
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	11	113305650	113305699	2	-1.3833
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	11	113306160	113529746	176	0.5742
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	11	113530425	134272740	14430	-0.5655
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	12	780472	4635340	2157	-0.0539
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	12	4635592	5002440	299	0.3147
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	12	5002983	5201042	207	-0.0694
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	12	5201185	5208684	4	-1.0992
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	12	5209060	132605822	71816	-0.0497
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	13	18874255	114226675	57079	-0.051
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	14	20033191	105533894	49833	-0.0529
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	15	23437561	73364427	28619	-0.056
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	15	73370973	73374380	4	-1.3064
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	15	73379176	101344124	16240	-0.065
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	16	603333	9540380	4389	-0.0679
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	16	9540773	9542619	2	-1.4358
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	16	9543694	89317317	36893	-0.061
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	17	1074619	39453870	15277	-0.0685
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	17	39457761	40660914	546	0.2721
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	17	40672757	82959812	21537	-0.0669
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	18	326691	79349796	43027	-0.0548
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	19	283868	58370362	24244	-0.0691
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	20	472817	63588502	37629	-0.0708
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	21	13974127	21545237	4884	-0.0485
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	21	21546299	46262057	15930	0.3059
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	22	16934932	37581275	10205	0.2878
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	22	37581298	37581474	3	-0.9899
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	22	37583143	48940621	6911	0.2883
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	X	3236359	112423405	44490	-0.2089
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C12_895336	X	112424969	155677414	19802	0.4932
