Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	1	3301765	247650984	130027	0.0303
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	2	480597	19739738	12699	0.0465
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	2	19739782	41131912	11683	-0.154
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	2	41131927	191198068	78629	0.0463
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	2	191199295	191200777	2	-1.683
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	2	191202099	241537572	29367	0.0465
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	3	2170634	68086809	38883	0.0497
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	3	68089227	68100812	11	-0.85
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	3	68100941	197812401	68432	0.0431
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	4	1059384	187842528	103679	0.0298
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	913983	4012189	1957	0.0456
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	4012580	4012586	2	-1.1849
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	4013527	32450971	17073	0.0403
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	32450997	33255350	548	-0.1599
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	33255402	35406653	912	0.0121
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	35406837	35582752	126	0.1752
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	35585186	35781849	105	0.0104
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	35782516	37439445	1018	-0.1595
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	37651330	39639508	1453	0.0215
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	39640303	43902213	2377	-0.1577
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	43902227	45004945	481	0.0078
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	45009304	45276037	110	0.1829
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	45277010	50828231	29	0.0632
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	50829022	50890370	44	-0.1932
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	50890836	51336885	252	0.0268
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	51337012	51414184	47	-0.1628
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	51421261	51742188	141	0.0655
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	51754288	52746445	602	-0.1491
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	52746476	53006476	233	0.0401
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	53007814	53240557	142	0.1661
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	53244275	53298078	34	0.0046
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	53299755	55093570	1182	-0.1555
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	55095197	56357305	703	0.0161
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	56357347	56358344	12	-0.3971
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	56358681	61036989	3001	0.024
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	61039111	61188833	71	-0.1989
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	61190019	61516379	185	-0.0067
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	61519233	63192011	1045	0.1487
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	63193517	64094571	169	-0.0052
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	64095124	82743582	10221	-0.1536
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	82744378	91245390	4521	-0.1828
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	91246153	171908979	47738	-0.1544
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	5	171909543	180934240	4740	0.0509
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	6	1011760	39125191	23058	0.2064
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	6	39125336	170596889	74260	0.0267
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	7	664936	50836449	29814	0.0488
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	7	50836559	50839055	2	-1.8938
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	7	50839124	99118100	20823	0.0491
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	7	99118913	128285786	15287	-0.1594
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	7	128286037	158592540	16183	0.0469
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	8	667625	126506457	71337	0.0444
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	8	126507540	126522734	14	-0.409
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	8	126526271	144182542	10967	0.0514
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	9	789794	1540026	157	0.036
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	9	1540138	3813756	1886	-0.1554
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	9	3821400	8025033	2429	0.0103
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	9	8027317	20211176	7969	-0.1533
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	9	20213632	22388822	1533	-0.3797
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	9	22390664	138044505	54652	-0.152
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	10	366509	10747627	7329	0.0069
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	10	10749464	20821333	7702	-0.1564
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	10	20821705	42450960	11331	0.0112
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	10	42452522	133411599	55132	-0.1536
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	11	456012	49972840	30756	-0.1531
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	11	49977485	104227385	26933	0.0462
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	11	104227690	104230033	4	-1.1994
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	11	104230684	134272740	20111	0.0469
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	12	780472	73897690	39900	0.0453
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	12	73900539	96649052	13955	-0.0292
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	12	96649129	132605822	20640	0.0465
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	13	18874255	114226675	57121	0.0184
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	14	20033191	105533894	49847	0.0337
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	15	23437561	28315499	2737	0.0305
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	15	28315670	53245256	12935	-0.1549
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	15	53246486	101344124	29207	0.0492
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	16	603333	31830143	14081	0.0453
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	16	31832698	89317317	27208	-0.1517
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D08_896040	17	1074619	82959812	37372	0.0443
