Targeted.Region.ID	Exon.Number	Gene.Sym	Chr	OriStCoordinate	OriEndCoordinate	Mean.of.LogRatio	Adjusted.Mean.of.LogRatio	SD.of.LogRatio	Median.of.LogRatio	number.bases	P.Value	Adjusted.P.Value	gain.loss	tumour.rd	normal.rd	tumour.rd.ori	normal.rd.ori	MinLogRatio	MaxLogRatio	BinNumber
1	0	SSU72	chr1	1509023	1509125	0.536	0.450346728010621	1.295	0.149	102	0.590572082979621	0.980681893879739	gain	560.225	527.781	1417.971	208.137	-1.14	2.183	2
2	0	-	chr1	2408027	2408151	0.225	-0.0384514097358281	0.346	0.232	124	0.966627752898725	0.998291515268826	loss	160.668	136.483	405.758	53.677	-0.8	0.957	1
3	0	-	chr1	2409914	2410061	-0.501	-0.800104162555096	0.225	-0.462	147	0.416035308940756	0.950447176359068	loss	95.001	134.06	239.401	52.721	-1.058	-0.06	1
4	0	-	chr1	2411172	2411416	0.993	0.493402713245039	0.994	0.975	231	0.71426325004829	0.994088580255608	gain	34.699	18.31	86.636	7.03	-1.184	3.01	1
5	0	-	chr1	2411621	2411751	1.758	1.35257772712734	1.733	1.274	130	0.250359677044846	0.927395828752995	gain	77.847	27.568	195.946	10.685	-0.01	7.84	1
6	0	-	chr1	2415886	2416057	-0.604	-0.850385130656038	0.527	-0.688	171	0.338288248581468	0.942685998455419	loss	140.548	196.026	354.789	77.181	-1.716	0.264	1
7	0	-	chr1	2418345	2418439	-0.023	-0.307901181595255	0.481	-0.066	94	0.747901627789821	0.994291822340936	loss	123.414	130.67	311.383	51.383	-0.856	0.854	1
8	0	-	chr1	2418611	2418815	0.215	-0.165903244462236	0.682	0.386	204	0.88350113693065	0.996744352749516	loss	66.688	59.388	167.676	23.245	-1.274	1.498	1
9	0	-	chr1	2419036	2419157	0.007	-0.212255828501977	0.29	0.022	121	0.80024339062546	0.996744352749516	loss	207.809	202.476	525.182	79.727	-0.546	0.674	1
10	0	-	chr1	2420645	2420817	0.307	0.0755180471928381	1.176	0.528	172	0.930110361905508	0.997592067355848	gain	214.89	160.365	543.122	63.105	-2	3.249	1
11	0	-	chr1	2421198	2421306	0.138	-0.0947848462446079	0.744	0.13	108	0.912583204434504	0.996744352749516	loss	188.592	183.111	476.5	72.083	-1.073	1.981	1
12	0	-	chr1	2422630	2422774	1.854	1.5709762071416	0.91	2.155	144	0.0998170966768415	0.82080226277219	gain	199.439	58.151	503.979	22.757	0.271	4.32	1
13	0	-	chr1	2426294	2426387	-0.23	-0.511403892179443	1.174	-0.57	93	0.590993263801102	0.980681893879739	loss	110.551	150.103	278.796	59.054	-1.615	2.672	1
14	0	-	chr1	2426926	2427009	1.488	1.14251731006404	0.25	1.493	83	0.284683975199848	0.934787713269496	gain	120.533	42.743	304.084	16.675	0.95	2.081	1
15	0	-	chr1	2428045	2428143	0.743	0.368378770291572	0.578	0.851	98	0.742400367417609	0.994088580255608	gain	83.048	48.944	209.122	19.122	-0.507	1.7	1
16	0	-	chr1	2428266	2428449	1.973	1.65529751293589	1.161	2.081	183	0.103774678753327	0.826344645297654	gain	150.269	49.713	379.415	19.426	0.07	4.412	1
17	0	-	chr1	2428940	2429048	-0.165	-0.528006313575242	0.773	-0.13	108	0.631135525745712	0.988644024957769	loss	65.412	78.259	164.444	30.694	-1.439	0.975	1
18	0	-	chr1	2429961	2430086	-0.271	-0.653810387716542	0.537	-0.358	125	0.564810142233549	0.977775004097063	loss	58.514	65.819	146.968	25.784	-1.296	1.827	1
19	0	-	chr1	2430182	2430267	0.041	-0.247311440996661	1.657	-0.72	85	0.797562567602257	0.996744352749516	loss	103.652	144.185	261.318	56.718	-1.758	3.091	1
20	0	-	chr1	2430522	2430669	1.234	0.888467798460656	0.937	0.92	147	0.405468951711241	0.948332471896582	gain	107.173	56.044	270.238	21.925	-0.321	3.106	1
21	0	-	chr1	2431079	2431159	-0.332	-0.651926922693786	0.797	-0.22	80	0.523356112751032	0.969788020969353	loss	90.209	106.552	227.262	41.862	-1.728	0.831	1
22	0	-	chr1	2433550	2433848	-2.217	-2.63175737689961	0.918	-2.531	292	0.0274658160500852	0.564330483968115	loss	21.494	76.977	53.185	30.188	-4.227	-0.593	1
23	0	-	chr1	2435360	2436652	0.18	-0.30996581195523	1.458	0.089	934	0.815732640638178	0.996744352749516	loss	26.67	30.2	66.298	11.724	-2.294	5.282	1
24	0	-	chr1	3003428	3003530	0.39	0.263134065696441	1.106	0.189	102	0.753252653572893	0.994820023927481	gain	443.12	362.22	1121.304	142.784	-1.155	2.215	2
25	0	-	chr1	4510054	4510156	-0.574	-0.763240006075046	0.175	-0.598	102	0.361871126917706	0.942685998455419	loss	202.737	308.052	512.333	121.402	-0.929	0.088	1
26	0	NPHP4	chr1	6011300	6011402	-0.505	-0.695272700438705	0.488	-0.685	102	0.406194965099	0.948332471896582	loss	205.806	301.147	520.108	118.676	-1.125	0.546	1
27	0	-	chr1	7503222	7503323	0.381	0.204693676992011	0.804	0.18	101	0.806814549637036	0.996744352749516	gain	291.953	269.41	738.347	106.149	-0.295	2.553	1
28	0	-	chr1	9032969	9033070	1.235	1.10297704259599	0.221	1.29	101	0.187613242280877	0.911138176363646	gain	542.02	233.567	1371.851	92	0.607	1.516	2
29	0	-	chr1	10517883	10517985	-0.18	-0.329171546717596	0.634	-0.214	102	0.694138436689552	0.994088580255608	loss	314.734	369.597	796.059	145.696	-1.019	2.804	2
30	0	MTOR	chr1	11167541	11167557	0.357	0.241608946766912	0.249	0.413	16	0.772858120005683	0.996353518740887	gain	488.395	387.308	1236	152.688	0.047	0.807	2
31	0	MTOR	chr1	11168237	11168343	-0.237	-0.360227134337815	0.664	-0.483	106	0.666944169999588	0.994088580255608	loss	367.196	459.822	928.962	181.311	-0.98	1.86	2
32	0	MTOR	chr1	11169346	11169427	0.446	0.324106930981939	0.325	0.461	81	0.698612083734486	0.994088580255608	gain	475.159	359.952	1202.469	141.889	0.003	1.229	2
33	0	MTOR	chr1	11169705	11169786	0.265	0.127006357319589	0.714	0.519	81	0.879401252419206	0.996744352749516	gain	373.551	368.959	945.062	145.444	-0.887	1.943	2
34	0	MTOR	chr1	11172908	11172974	0.244	0.123497810897471	0.281	0.207	66	0.882708343407543	0.996744352749516	gain	455.303	388.33	1152.167	153.091	-0.224	0.979	2
35	0	MTOR	chr1	11174374	11174510	0.495	0.245145814257663	0.841	1.086	136	0.784010280803798	0.996744352749516	gain	186.909	141.249	472.235	55.559	-0.955	1.395	1
36	0	MTOR	chr1	11174869	11174944	2.06	1.93735388144454	0.659	2.32	75	0.0206424013960016	0.513538825569231	gain	660.705	169.828	1672.52	66.84	1.215	3.298	2
37	0	MTOR	chr1	11175452	11175525	-0.712	-0.797817559874976	0.298	-0.781	73	0.340532522424123	0.942685998455419	loss	410.08	676.622	1037.603	266.89	-1.127	-0.246	2
38	0	MTOR	chr1	11177060	11177143	-0.156	-0.246030289037239	0.548	-0.417	83	0.768818772310606	0.996353518740887	loss	466.323	587.47	1180.084	231.699	-0.966	1.123	2
39	0	MTOR	chr1	11181302	11181425	-0.017	-0.212275988121981	0.281	0.054	123	0.799807893759655	0.996744352749516	loss	242.23	246.542	612.382	97.122	-0.883	0.545	1
40	0	MTOR	chr1	11182035	11182183	0.043	-0.183024482806773	0.798	0.09	148	0.829738944940881	0.996744352749516	loss	186.021	204.485	469.986	80.52	-1.098	1.928	1
41	0	MTOR	chr1	11184554	11184690	0.955	0.750252579734525	0.359	1.007	136	0.37009788040741	0.942685998455419	gain	298.163	157.958	754.081	62.154	0.201	1.482	1
42	0	MTOR	chr1	11186678	11186853	2.468	2.23831763682026	0.305	2.564	175	0.00906854188681772	0.353944646816035	gain	321.667	58.55	813.623	22.914	1.333	2.84	1
43	0	MTOR	chr1	11187066	11187201	0.694	0.532513647700846	0.692	0.835	135	0.524666934597514	0.969788020969353	gain	374.067	251.431	946.37	99.052	-0.236	2.055	1
44	0	MTOR	chr1	11187680	11187863	0.386	0.193730968360205	0.407	0.326	183	0.81697228986128	0.996744352749516	gain	275.12	224.499	695.705	88.421	-0.22	1.422	1
45	0	MTOR	chr1	11188060	11188183	0.219	0.0201320653292702	0.576	0.298	123	0.980812093425114	0.998291515268826	gain	243.215	232.908	614.878	91.74	-0.708	1.042	1
46	0	MTOR	chr1	11188510	11188609	-0.732	-0.885452241584687	0.132	-0.723	99	0.290143690569426	0.934787713269496	loss	249.563	413.715	630.96	163.111	-1.02	-0.454	1
47	0	MTOR	chr1	11188911	11189008	-0.863	-0.987997867242529	0.347	-0.82	97	0.237875872064777	0.925275801613785	loss	287.579	528.818	727.268	208.546	-1.463	-0.235	2
48	0	MTOR	chr1	11189794	11189895	-0.04	-0.187818589744142	0.263	-0.114	101	0.822463439910094	0.996744352749516	loss	337.863	353.26	854.653	139.248	-0.416	0.632	2
49	0	MTOR	chr1	11190585	11190834	-0.85	-1.04569958528538	0.271	-0.782	249	0.211575071700199	0.911503070448929	loss	173.728	313.535	438.843	123.566	-1.511	-0.04	1
50	0	MTOR	chr1	11193136	11193254	0.031	-0.136914186444047	0.597	0.002	118	0.870073853859387	0.996744352749516	loss	288.076	308.751	728.525	121.678	-0.841	1.305	1
51	0	MTOR	chr1	11194407	11194523	-0.32	-0.518355303406461	0.294	-0.326	116	0.535749234787588	0.970233111182064	loss	211.626	266.282	534.853	104.914	-0.784	0.213	1
52	0	MTOR	chr1	11199360	11199492	-0.56	-0.713786830867449	0.264	-0.607	132	0.393811164344782	0.946620690780997	loss	264.54	397.12	668.902	156.561	-0.986	0.012	1
53	0	MTOR	chr1	11199589	11199715	-0.887	-1.16104823714347	0.48	-0.951	126	0.215931744102603	0.913301217598516	loss	92.333	182.699	232.643	71.921	-1.629	-0.044	1
54	0	MTOR	chr1	11204704	11204812	1.115	0.917245917291699	0.677	0.764	108	0.273171210770991	0.934787713269496	gain	320.449	159.561	810.537	62.787	0.348	2.419	1
55	0	MTOR	chr1	11205024	11205102	0.586	0.465861718551535	0.393	0.354	78	0.57784025943123	0.980681893879739	gain	500.616	345.261	1266.962	136.09	0.187	1.429	2
56	0	MTOR	chr1	11206732	11206848	0.989	0.845929537407448	0.649	0.81	116	0.312212410847006	0.936707487285418	gain	465.071	250.426	1176.914	98.655	-0.351	2.025	2
57	0	MTOR	chr1	11210182	11210283	-0.318	-0.51462430328153	0.284	-0.333	101	0.538689143762022	0.970233111182064	loss	214.35	269.635	541.752	106.238	-0.787	0.533	1
58	0	MTOR	chr1	11217208	11217348	-0.388	-0.525144076591237	0.674	-0.118	140	0.530420710060325	0.970174251536877	loss	302.319	444.81	764.607	175.386	-1.818	0.661	2
59	0	MTOR	chr1	11227498	11227574	1.699	1.49189513550305	0.762	1.384	76	0.074701285349932	0.77818377049282	gain	334.172	114.167	845.303	44.868	-0.068	3.121	1
60	0	MTOR	chr1	11259314	11259460	-0.385	-0.579061051160363	1.026	-0.388	146	0.489078077177231	0.963078936502972	loss	205.422	287.704	519.137	113.37	-1.902	1.71	1
61	0	MTOR	chr1	11259597	11259760	0.036	-0.115132113176585	0.313	0.093	163	0.890601843578735	0.996744352749516	loss	342.722	331.885	866.963	130.81	-0.703	0.833	1
62	0	MTOR	chr1	11264617	11264760	-0.458	-0.716104615044322	0.552	-0.756	143	0.430994328835388	0.95313073779433	loss	125.281	183.697	316.112	72.315	-1.136	0.971	1
63	0	MTOR	chr1	11269368	11269515	0.429	0.248682117174564	0.723	0.17	147	0.766399056118089	0.996353518740887	gain	300.033	245.13	758.816	96.565	-0.544	2.276	1
64	0	MTOR	chr1	11270870	11270963	0.465	0.318317039471128	0.459	0.251	93	0.70373922316843	0.994088580255608	gain	404.443	292.433	1023.323	115.237	-0.213	1.185	2
65	0	MTOR	chr1	11272368	11272531	0.64	0.441758736498864	0.513	0.615	163	0.597674572727938	0.980681893879739	gain	288.987	189.319	730.834	74.534	-0.349	1.569	1
66	0	MTOR	chr1	11272852	11272965	-0.304	-0.434746576797837	0.561	-0.436	113	0.603502429962553	0.980681893879739	loss	351.77	431.077	889.885	169.965	-1.146	1.158	2
67	0	MTOR	chr1	11273455	11273623	0.758	0.571492858068269	1.711	0.112	168	0.494774597187939	0.96345970914205	gain	266.539	254.542	673.964	100.28	-1.426	3.191	1
68	0	MTOR	chr1	11276204	11276291	-0.037	-0.135547519255879	0.212	-0.112	87	0.871359413617025	0.996744352749516	loss	487.152	503.119	1232.851	198.402	-0.304	0.484	2
69	0	MTOR	chr1	11288724	11288975	-0.38	-0.56243748019065	0.387	-0.336	251	0.501636837919149	0.965333990537986	loss	231.97	304.823	586.39	120.127	-1.122	0.762	1
70	0	MTOR	chr1	11290981	11291111	-0.293	-0.426954016141382	0.178	-0.254	130	0.6100086814966	0.98246518062635	loss	341.671	423.06	864.3	166.8	-0.793	0.009	2
71	0	MTOR	chr1	11291356	11291491	0.534	0.3214350060714	0.313	0.567	135	0.700976469820967	0.994088580255608	gain	251.599	179.222	636.119	70.548	-0.071	1.564	1
72	0	MTOR	chr1	11292492	11292585	0.08	-0.0511377201955765	0.521	0.194	93	0.951286154356653	0.998291515268826	loss	394.367	386.248	997.796	152.269	-0.797	0.867	2
73	0	MTOR	chr1	11293454	11293544	0.837	0.716619707611488	0.331	0.723	90	0.391936667977543	0.946620690780997	gain	538.167	306.217	1362.089	120.678	0.52	2.236	2
74	0	MTOR	chr1	11294199	11294322	2.503	2.25259197794151	0.201	2.507	123	0.0118766385357791	0.405234473714943	gain	277.13	49.704	700.797	19.423	2.119	2.907	1
75	0	MTOR	chr1	11297899	11298105	-0.741	-0.964550940481662	0.701	-0.84	206	0.254592986131748	0.927967144770823	loss	148.116	249.505	373.961	98.291	-1.999	0.767	1
76	0	MTOR	chr1	11298458	11298674	-0.666	-0.867263361919105	1.25	-1.047	216	0.300166180278482	0.934787713269496	loss	137.943	329.927	348.19	130.037	-1.991	1.83	1
77	0	MTOR	chr1	11300359	11300604	-0.867	-1.04985077216503	0.763	-0.869	245	0.209767383097689	0.911138176363646	loss	195.695	339.481	494.494	133.808	-2.354	0.922	1
78	0	MTOR	chr1	11301609	11301738	1.876	1.52661014002435	1.298	2.575	129	0.155580549475268	0.905611643746852	gain	112.624	46.061	284.047	17.984	-0.437	3.272	1
79	0	MTOR	chr1	11303170	11303357	-0.135	-0.317842837084474	0.483	-0.219	187	0.704159746118685	0.994088580255608	loss	247.709	287.498	626.262	113.289	-0.752	0.863	1
80	0	MTOR	chr1	11307681	11307790	3.067	2.81661000029535	1.142	2.88	109	0.00165620553733459	0.138399329389062	gain	282.567	44.31	714.569	17.294	1.382	5.133	1
81	0	MTOR	chr1	11307875	11308151	0.339	0.110400736953909	0.703	0.249	276	0.897355913403855	0.996744352749516	gain	202.887	180.348	512.714	70.993	-0.706	2.815	1
82	0	MTOR	chr1	11313895	11314030	-0.441	-0.547782401689381	0.365	-0.469	135	0.512848451779028	0.965747677003381	loss	395.175	537.323	999.844	211.904	-1.036	0.61	2
