Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DLP_REDO_FROM_STOPE_B08	1	3301765	59834053	31402	-0.0491
DLP_REDO_FROM_STOPE_B08	1	59834148	102852113	26674	-0.0246
DLP_REDO_FROM_STOPE_B08	1	102852687	102856163	2	-3.9405
DLP_REDO_FROM_STOPE_B08	1	102856785	149910462	10057	-0.0368
DLP_REDO_FROM_STOPE_B08	1	149913375	241008362	58145	0.5361
DLP_REDO_FROM_STOPE_B08	1	241010465	241010467	2	-1.0221
DLP_REDO_FROM_STOPE_B08	1	241010702	247650984	3584	0.5388
DLP_REDO_FROM_STOPE_B08	2	480597	66230656	38887	-0.032
DLP_REDO_FROM_STOPE_B08	2	66230989	66231150	2	-3.9638
DLP_REDO_FROM_STOPE_B08	2	66234235	171637557	53076	-0.0326
DLP_REDO_FROM_STOPE_B08	2	171638848	171641652	3	-1.8473
DLP_REDO_FROM_STOPE_B08	2	171641932	196833011	13394	-0.0346
DLP_REDO_FROM_STOPE_B08	2	196836237	196839324	2	-2.0664
DLP_REDO_FROM_STOPE_B08	2	196843988	241537572	26811	-0.0345
DLP_REDO_FROM_STOPE_B08	3	2170634	73260724	42509	-0.0316
DLP_REDO_FROM_STOPE_B08	3	73261100	87653384	7510	-0.0066
DLP_REDO_FROM_STOPE_B08	3	87655480	98818497	3710	-0.0319
DLP_REDO_FROM_STOPE_B08	3	98823182	108748385	5644	-0.4016
DLP_REDO_FROM_STOPE_B08	3	108757672	108763280	2	-2.5881
DLP_REDO_FROM_STOPE_B08	3	108764266	118724459	5928	-0.4018
DLP_REDO_FROM_STOPE_B08	3	118724586	120089527	734	-0.0202
DLP_REDO_FROM_STOPE_B08	3	120096532	127174873	4044	-0.4233
DLP_REDO_FROM_STOPE_B08	3	127176395	197812401	37051	-0.0317
DLP_REDO_FROM_STOPE_B08	4	1059384	187842528	103550	-0.0269
DLP_REDO_FROM_STOPE_B08	5	913983	173262829	97015	-0.0332
DLP_REDO_FROM_STOPE_B08	5	173263221	173263828	2	-1.9737
DLP_REDO_FROM_STOPE_B08	5	173264515	180934240	4108	-0.0493
DLP_REDO_FROM_STOPE_B08	6	1011760	1414450	387	0.8567
DLP_REDO_FROM_STOPE_B08	6	1415555	1423279	8	1.4488
DLP_REDO_FROM_STOPE_B08	6	1427251	2786151	969	0.8161
DLP_REDO_FROM_STOPE_B08	6	2786329	2840082	41	0.5099
DLP_REDO_FROM_STOPE_B08	6	2842596	2980649	121	0.7744
DLP_REDO_FROM_STOPE_B08	6	2980990	4848393	1189	0.5795
DLP_REDO_FROM_STOPE_B08	6	4848700	5855529	715	0.8085
DLP_REDO_FROM_STOPE_B08	6	5855709	11216744	3792	0.6018
DLP_REDO_FROM_STOPE_B08	6	11219726	12409017	1004	0.8082
DLP_REDO_FROM_STOPE_B08	6	12409184	14610811	1621	0.58
DLP_REDO_FROM_STOPE_B08	6	14612893	15606590	514	0.783
DLP_REDO_FROM_STOPE_B08	6	15606814	24735080	6484	0.5938
DLP_REDO_FROM_STOPE_B08	6	24735524	33115107	2700	0.554
DLP_REDO_FROM_STOPE_B08	6	33115121	33115708	2	-0.8207
DLP_REDO_FROM_STOPE_B08	6	33116894	37463864	2315	0.565
DLP_REDO_FROM_STOPE_B08	6	37463981	48482577	7009	0.5908
DLP_REDO_FROM_STOPE_B08	6	48489317	48491815	4	-0.7433
DLP_REDO_FROM_STOPE_B08	6	48491863	57045536	5194	0.6041
DLP_REDO_FROM_STOPE_B08	6	57094865	170596889	63151	-0.0296
DLP_REDO_FROM_STOPE_B08	7	664936	158592540	81989	-0.0376
DLP_REDO_FROM_STOPE_B08	8	667625	144182542	82288	0.3749
DLP_REDO_FROM_STOPE_B08	9	789794	9874677	5628	-0.5098
DLP_REDO_FROM_STOPE_B08	9	9985419	10077962	77	0.324
