Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	1	3301765	23697952	11476	-0.8399
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	1	23704560	46727386	11809	0.5226
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	1	46727671	101178654	33851	0.4882
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	1	101182772	101189736	2	-1.0172
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	1	101190114	157501265	14700	0.4901
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	1	157502051	158204655	537	0.5178
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	1	158205356	198297560	25466	0.4658
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	1	198298156	198309549	2	-1.1237
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	1	198315660	226817303	18629	0.4607
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	1	226819271	226819481	3	-0.7672
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	1	226825995	243840847	11688	0.4718
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	1	243846113	247650984	1747	0.4969
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	2	480597	15027200	9283	8e-04
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	2	15030137	23321762	5638	-0.0302
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	2	23322016	27506999	2001	0.0166
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	2	27514389	42562085	8333	-0.019
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	2	42570279	48865762	4067	0.0122
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	2	48865770	132681823	39991	-0.0192
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	2	132681945	208607944	42922	-0.0334
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	2	208607968	208607981	2	-1.3981
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	2	208607995	213489416	2898	-0.0347
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	2	213489552	230249624	10552	-0.0212
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	2	230249811	230393900	76	0.0111
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	2	230400636	230401563	2	1.0526
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	2	230402928	231499583	571	-0.0039
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	2	231502585	231503112	2	-1.2413
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	2	231504690	241537572	5971	0.0126
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	3	2170634	8866421	3857	-0.0247
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	3	8866647	15386338	4277	0.0024
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	3	15386722	46952922	18661	-0.0272
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	3	46953752	52856772	2317	0.0283
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	3	52856802	56654852	2731	-0.0253
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	3	56657365	56676129	11	-0.8663
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	3	56677355	197812401	75402	-0.0283
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	4	1059384	10153248	4746	0.0179
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	4	10153860	186872186	98311	-0.0294
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	4	186872725	187842528	549	-8e-04
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	5	913983	3024418	1099	0.0162
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	5	3024493	32655949	18066	-0.0163
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	5	32658667	132173578	51903	-0.033
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	5	132176882	170537609	24514	-0.0215
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	5	170539665	180934240	5617	0.0185
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	6	1011760	57347009	34188	0.5012
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	6	61524627	66853545	2715	-0.0216
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	6	66854173	148007634	46910	-0.0327
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	6	148007678	170596889	13440	-0.0155
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	7	664936	7152739	2341	0.0341
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	7	7155128	64628817	31575	-0.0247
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	7	64630210	77175162	4796	0.0095
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	7	77178189	97966016	11445	-0.0301
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	7	97967041	102398591	1699	0.0266
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	7	102399249	155066394	28152	-0.0227
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	7	155067206	158592540	2041	0.0175
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	8	667625	50655720	27061	-0.0099
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	8	50656733	134822151	50421	-0.0309
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	8	134822257	135022867	137	0.0461
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	8	135024245	139688714	3488	-0.0132
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	8	139690631	144182542	1154	0.0399
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	9	789794	4976029	3039	-0.9184
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	9	4976186	5084663	158	-0.6465
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	9	5084708	9647020	2291	-0.9093
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	9	9649179	9649668	2	-2.8003
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	9	9649938	21121855	7620	-0.8874
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	9	21121918	21122646	3	-2.5066
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	9	21125405	33329247	7253	-0.8815
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	9	33329371	36719567	1737	-0.8155
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	9	36719754	37033162	326	-0.8921
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E03_1306272	9	37033364	37037979	5	-3.2689
